LicenseNo,LastUpdate,BusinessName,BUS-NAME-2,FullBusinessName,MailingAddress,City,State,County,ZIPCode,country,BusinessPhone,BusinessType,IssueDate,ReissueDate,ExpirationDate,InactivationDate,ReactivationDate,PendingSuspension,PendingClassRemoval,PendingClassReplace,PrimaryStatus,SecondaryStatus,Classifications(s),AsbestosReg,WorkersCompCoverageType,WCInsuranceCompany,WCPolicyNumber,WCEffectiveDate,WCExpirationDate,WCCancellationDate,WCSuspendDate,CBSuretyCompany,CBNumber,CBEffectiveDate,CBCancellationDate,CBAmount,WBSuretyCompany,WBNumber,WBEffectiveDate,WBCancellationDate,WBAmount,DBSuretyCompany,DBNumber,DBEffectiveDate,DBCancellationDate,DBAmount,DateRequired,DiscpCaseRegion,DBBondReason,DBCaseNo,NAME-TP-2
1000125,02/24/2025,MURANO SHADES INC,,,1826 E 46TH ST,LOS ANGELES,CA,Los Angeles,90058,,(310) 210 0991,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,D52,,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC, TES4553645, 02/23/2025, 02/23/2026,,,BUSINESS ALLIANCE INSURANCE COMPANY,G110527044438,01/01/2023,,25000,,,,,,,,,,,,,,,
1000126,12/10/2024,RAMSEY/MORAN CONSTRUCTION INC,,,3955 TRANSPORT STREET #C,VENTURA,CA,Ventura,93003,,(805) 218 1676,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,A| B,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9118141, 11/20/2014, 11/20/2025,,,HUDSON INSURANCE COMPANY,30107397,01/01/2023,,25000,,,,,,,,,,,,,,,
1000128,08/27/2025,PEREZ ALEX OSWALDO,,ALEX OSWALDO PEREZ,5418 E SAGINAW WAY,FRESNO,CA,Fresno,93727,,(559) 273 9463,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C54,,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY, 76WEGAT7BXB, 08/15/2024, 08/15/2026,,,NORTH RIVER INSURANCE COMPANY (THE),04CF616052,01/17/2023,,25000,,,,,,,,,,,,,,,
1000129,12/23/2024,LE CREST DEVELOPMENT,,,136 W NORMAN AVENUE,ARCADIA,CA,Los Angeles,91007,,(626) 236 7028,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 12/20/2024,,,,,JT006770,01/08/2024,,25000,,,,,,,,,,,,,,,
1000130,01/10/2025,DYNAMIC IRON WORKS INC,,,PO BOX 38,NORTH HIGHLANDS,CA,Sacramento,95660,,(916) 238 4188,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C51,,Workers' Compensation Insurance,, ONCC0701240403, 12/01/2024, 12/01/2025,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100479801,01/01/2023,,25000,,,,,,,,,,,,,,,
1000133,06/04/2025,CAL TECH SECURITY SERVICES INC,,,4039 MARBLEHEAD DR,SAN RAMON,CA,Contra Costa,94582,,(925) 383 8049,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C-7| C10,,Workers' Compensation Insurance,FARMERS INSURANCE EXCHANGE, A09490919, 07/01/2023, 07/01/2026,,,WESTERN SURETY COMPANY,64419725,01/01/2023,,25000,,,,,,,,,,,,,,,
1000134,09/22/2025,ANAHEIM CARPET AND FLOORING,ALL CITY FLOORING INC,,811 SOUTH STATE COLLEGE BLVD,ANAHEIM,CA,Orange,92806,,(714) 535 4084,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C15,,Workers' Compensation Insurance,, KWP1406106, 09/26/2025, 09/26/2026,,,MERCHANTS BONDING COMPANY (MUTUAL),100299154,01/06/2024,,25000,,,,,,,,,,,,,,,Current Name
1000137,12/09/2024,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,,,1105 CARMELITA AVE,SACRAMENTO,CA,Sacramento,95838,,(510) 402 9368,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C27,,Exempt,,, 12/07/2024,,,,WESTERN SURETY COMPANY,66794113,09/17/2023,,25000,,,,,,,,,,,,,,,
1000142,08/27/2025,MAPES MICHAEL ROSS,,MICHAEL ROSS MAPES,21301 ROSSFORD AVE,LAKEWOOD,CA,Los Angeles,90715,,(562) 991 3202,Sole Owner,01/13/2015,,10/31/2025,02/01/2017,10/25/2023,,,,CLEAR,,C20| C36,,Workers' Compensation Insurance,MID-CENTURY INSURANCE COMPANY, A09522755, 11/11/2024, 11/11/2025,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100798115,09/08/2023,,25000,,,,,,,,,,,,,,,
1000143,12/20/2024,CHAMPION FRAMING INC,,,6890 DOOLITTLE AVE,RIVERSIDE,CA,Riverside,92503,,(951) 338 7200,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,A| B,,"Leasing Firm, Temp Agency, etc",ZURICH AMERICAN INSURANCE COMPANY, WC0189775, 12/31/2023, 12/31/2025,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100266299,01/01/2023,,25000,,,,,,,,,,,,,,,
1000145,02/13/2025,WEBB JEFF CO,,JEFF WEBB CO,1778 BROADWAY,PLACERVILLE,CA,El Dorado,95667,,(916) 217 2817,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C-6,,Exempt,,, 02/12/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100245703,01/01/2023,,25000,,,,,,,,,,,,,,,
1000146,01/15/2025,T & K BUILDER,,,15192 WARWICK CIRCLE,WESTMINSTER,CA,Orange,92683,,(714) 487 3153,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 12/30/2024,,,,BUSINESS ALLIANCE INSURANCE COMPANY,G150102180434,01/11/2025,,25000,,,,,,,,,,,,,,,
1000150,01/06/2025,DELUX CABINETS INC,,,6232 SATSUMA AVE,NORTH HOLLYWOOD,CA,Los Angeles,91606,,(818) 903 9027,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C-6,,Exempt,,, 12/27/2024,,,,HUDSON INSURANCE COMPANY,30136841,01/16/2024,,25000,,,,,,,,,,,,,,,
1000153,01/03/2025,HACKETT RENOVATION & CONSTRUCTION INC,,,11860 LA COLINA RD,SAN DIEGO,CA,San Diego,92131,,(858) 361 2728,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/02/2025,,,,MERCHANTS BONDING COMPANY (MUTUAL),100127489,06/29/2023,,25000,,,,,,PLATTE RIVER INSURANCE COMPANY,PR2719978,02/19/2021,03/22/2022,30000.0,03/08/2021,N,Replacement Bond,2016000394.0,
1000154,07/11/2025,HEATH M G CONSTRUCTION,,M G HEATH CONSTRUCTION,5 GLENVIEW COURT,CHICO,CA,Butte,95928,,(209) 814 4438,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 07/08/2025,,,,,JT019251,07/08/2025,,25000,,,,,,,,,,,,,,,
1000156,07/11/2025,SCHULTEN ALLEN JOSEPH,,ALLEN JOSEPH SCHULTEN,3124 W BURKE STREET,TAMPA,FL,,33614,,(214) 551 2505,Sole Owner,01/14/2015,,06/30/2026,02/01/2021,06/06/2022,,,,CLEAR,,C36,,Exempt,,, 06/09/2024,,,,ATLANTIC SPECIALTY INSURANCE COMPANY,800205612,06/19/2025,,25000,,,,,,,,,,,,,,,
1000157,05/20/2025,STYLE HOME THEATERS LLC,,,1117 AVIATION BLVD,HERMOSA BEACH,CA,Los Angeles,90254,,(888) 988 5616,Limited Liability,01/14/2015,,01/31/2027,,,,,,CLEAR,,C-7,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY, WWC3781349, 05/12/2025, 05/12/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100860798,05/28/2024,,25000,SURETEC INSURANCE COMPANY,6007328,02/22/2022,,100000.0,,,,,,,,,,
1000158,02/19/2025,ASSEMBLY BUILDERS INC,,,521 CURTIS STREET,ALBANY,CA,Alameda,94706,,(510) 910 5973,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,, ONCC0701378202, 02/19/2025, 02/19/2026,,,WESTERN SURETY COMPANY,67060877,09/14/2024,,25000,,,,,,,,,,,,,,,
1000160,08/12/2025,ALONZO'S FLOORING A PARTNERSHIP,,,4728 WEST REDDING AVENUE,VISALIA,CA,Tulare,932775141,,(559) 280 2528,Partnership,01/14/2015,,01/31/2027,,,,,,CLEAR,,C15,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY, MWC021972002, 11/14/2024, 11/14/2025,,,WESTERN SURETY COMPANY,67449448,08/11/2025,,25000,,,,,,,,,,,,,,,
1000161,01/13/2025,D G CONSTRUCTION,,,3806 E THRUSH LANE,MEAD,WA,,99021,,(415) 747 2532,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,A,,Exempt,,, 01/11/2025,,,,HUDSON INSURANCE COMPANY,30106945,01/01/2023,,25000,,,,,,,,,,,,,,,
1000162,12/24/2024,ROGAN JAMES,,JAMES ROGAN,1613 N ORANGETHORPE WAY,ANAHEIM,CA,Orange,92801,,(714) 684 6970,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,D06,,Exempt,,, 12/23/2024,,,,UNITED SURETY INSURANCE COMPANY,UCSX900X5243,04/10/2024,,25000,,,,,,,,,,,,,,,
1000163,02/18/2025,DUNN CARPENTRY,,,4219 BEACH BLUFF ROAD,CARLSBAD,CA,San Diego,92008,,(760) 497 8200,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,ENDURANCE ASSURANCE CORPORATION, EAW0000267800, 02/18/2025, 02/18/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100821814,01/06/2024,,25000,,,,,,PLATTE RIVER INSURANCE COMPANY,41310894,01/14/2015,02/16/2017,15000.0,01/14/2015,2,Issuance,2011001098.0,
1000166,06/05/2025,LINDOW MASON BRUCE,,MASON BRUCE LINDOW,1455 VIA BARRETT,SAN LORENZO,CA,Alameda,94580,,(510) 468 6946,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY, MBWC673906, 05/06/2025, 05/06/2026,,,NORTH RIVER INSURANCE COMPANY (THE),04CF641532,02/13/2025,,25000,,,,,,,,,,,,,,,
1000169,08/25/2025,INLAND VALLEY HEATING AND AIR,,,35217 MOUNTAIN VIEW STREET,YUCAIPA,CA,San Bernardino,92399,,(909) 653 6674,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,C20,,Workers' Compensation Insurance,STATE FARM FIRE AND CASUALTY COMPANY, 92TAU8400, 08/11/2025, 08/11/2026,,,NORTH RIVER INSURANCE COMPANY (THE),04CF600987,01/01/2023,,25000,,,,,,,,,,,,,,,
1000172,10/10/2025,X-TREME POOLS,X-TREME POOLS AND HARDSCAPES,X-TREME POOLS AND HARDSCAPES DBA X-TREME POOLS,10700 JERSEY BLVD STE 620,RANCHO CUCAMONGA,CA,San Bernardino,91730,,(855) 585 7665,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C53,,Workers' Compensation Insurance,ENDURANCE ASSURANCE CORPORATION, EAW0000408100, 10/10/2025, 10/10/2026,,,MERCHANTS BONDING COMPANY (MUTUAL),101480455,04/26/2025,,25000,,,,,,,,,,,,,,,Current Name
1000173,01/02/2025,ALL-TECH FIRE & SECURITY INC,,,10010 ROSEDALE HWY #A,BAKERSFIELD,CA,Kern,93312,,(661) 371 3300,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C10| C16,,Workers' Compensation Insurance,PENNSYLVANIA MANUFACTURERS ASSOCIATION INSURANCE COMPANY, 2025011581644, 01/01/2025, 01/01/2026,,,WESTERN SURETY COMPANY,62252550,01/01/2023,,25000,,,,,,,,,,,,,,,
1000174,06/03/2025,MERKLEY LANDSCAPE INC,,,12820 VIA DEL TORO,POWAY,CA,San Diego,92064,,(858) 361 1297,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C27,,Workers' Compensation Insurance,OHIO SECURITY INSURANCE COMPANY, XWS57231005, 04/14/2025, 04/14/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100264884,01/01/2023,,25000,,,,,,,,,,,,,,,
1000175,01/30/2025,N S G CONSTRUCTION,,,2091 QUAILMEADOW,RAMONA,CA,San Diego,92065,,(760) 443 0080,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/29/2025,,,,HUDSON INSURANCE COMPANY,30032540,01/01/2023,,25000,,,,,,,,,,,,,,,
1000176,08/12/2025,DRAIN KINGS,PLUMBER PATROL INC,,9842 OWENSMOUTH AVE,CHATSWORTH,CA,Los Angeles,91311,,(818) 280 5655,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C36,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY, EIG517283002, 02/14/2025, 02/14/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100911043,12/13/2024,,25000,,,,,,PLATTE RIVER INSURANCE COMPANY,PR2725075,01/15/2021,02/16/2024,30000.0,01/21/2021,N,Conditional,2017000161.0,Current Name
1000178,01/29/2025,KOCH I ELECTRIC INC,,I KOCH ELECTRIC INC,116 N NOPAL STREET UNIT 1,SANTA BARBARA,CA,Santa Barbara,93103,,(805) 566 2100,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C10| D52,,Workers' Compensation Insurance,COMPWEST INSURANCE CO, 100081928, 01/01/2025, 01/01/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100262708,01/01/2023,,25000,,,,,,,,,,,,,,,
1000179,10/27/2025,COOL - TECH HEATING & AIR CONDITIONING,,,8307 YOSEMITE BLVD,MODESTO,CA,Stanislaus,95357,,(209) 968 7170,Sole Owner,01/14/2015,,01/31/2027,,,,,,CLEAR,,C20,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY, MWC0242915, 10/26/2025, 10/26/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100899609,12/03/2024,,25000,,,,,,,,,,,,,,,
1000181,06/10/2025,NEW ERA SIDING INC,,,4012 ROLLING ROCK AVE,BAKERSFIELD,CA,Kern,93313,,(661) 637 9977,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,D41,,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY, BNUWC0165355, 04/08/2025, 04/08/2026,,,,JT012148,01/02/2025,,25000,,,,,,,,,,,,,,,
1000182,01/27/2025,NUWAVE INTERNATIONAL INDUSTRIES INC,,,1875 CORONADO AVE,SIGNAL HILL,CA,Los Angeles,90755,,(562) 498 0800,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,B| C10| C20,,Workers' Compensation Insurance,REDWOOD FIRE AND CASUALTY INSURANCE CO, NUWC618600, 01/02/2025, 01/02/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100424292,01/01/2023,,25000,,,,,,,,,,,,,,,
1000183,01/07/2025,CHALLENGE PLUMBING INC,,,901 EAST REDONDO BLVD,INGLEWOOD,CA,Los Angeles,90302,,(310) 474 4040,Corporation,01/14/2015,,01/31/2027,,,,,,CLEAR,,C36,,Workers' Compensation Insurance,, PSIC0701231003, 11/01/2024, 11/01/2025,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100263843,01/01/2023,,25000,,,,,,,,,,,,,,,
1000187,10/13/2025,KUSTOM PAVING,,,813 HARBOR BLVD APT 168,WEST SACRAMENTO,CA,Yolo,95691,,(916) 752 4257,Partnership,01/15/2015,,01/31/2027,,,,,,CLEAR,,C12,,Workers' Compensation Insurance,,, 09/17/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,101000470,10/09/2025,,25000,,,,,,,,,,,,,,,
1000188,06/24/2025,POLYTEK COOLER CORP,,,5567 N BURTON AVE,SAN GABRIEL,CA,Los Angeles,91776,,(626) 242 8810,Corporation,01/15/2015,,01/31/2027,,,,,,CLEAR,,C20,,Workers' Compensation Insurance,SECURITY NATIONAL INSURANCE COMPANY, SNP1558930, 06/13/2025, 06/13/2026,,,HUDSON INSURANCE COMPANY,30107374,01/01/2023,,25000,,,,,,,,,,,,,,,
1000191,10/27/2025,INNOVATION PAINTING EXPERT,,,24505 JENKINS DRIVE,MORENO VALLEY,CA,Riverside,92553,,(909) 559 3668,Sole Owner,01/15/2015,,01/31/2027,,,,,,Contr Bond Susp,,C33,,Exempt,,, 06/06/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100962920,05/27/2025,10/25/2025,25000,,,,,,,,,,,,,,,
1000195,05/21/2025,RODGERS K E INC,,K E RODGERS INC,530 TEXAS STREET,REDLANDS,CA,San Bernardino,92374,,(909) 735 5038,Corporation,01/15/2015,,01/31/2027,,,,,,CLEAR,,C36,,Workers' Compensation Insurance,MID-CENTURY INSURANCE COMPANY, E09465301, 05/12/2023, 05/12/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100260060,01/01/2023,,25000,,,,,,,,,,,,,,,
1000196,08/11/2025,CULTIVATED LANDSCAPE MANAGEMENT INC,,,P O BOX 2998,GRANITE BAY,CA,Placer,95746,,(916) 621 3522,Corporation,01/15/2015,,01/31/2027,,,,,,CLEAR,,B| C27,,Workers' Compensation Insurance,SECURITY NATIONAL INSURANCE COMPANY, SPP1822878, 08/10/2025, 08/10/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100266242,01/01/2023,,25000,,,,,,,,,,,,,,,
